[2026-02-13 09:42:41] [stress] Not Running
[2026-02-13 09:42:42] [stress] Not Running
[2026-02-13 09:42:43] [stress] Not Running
[2026-02-13 09:42:44] [stress] Not Running
[2026-02-13 09:42:45] [stress] Not Running
[2026-02-13 09:42:46] [stress] Not Running
[2026-02-13 09:42:47] [stress] Not Running
[2026-02-13 09:42:48] [stress] Not Running
[2026-02-13 09:42:49] [stress] Not Running
[2026-02-13 09:42:50] [stress] Not Running
[2026-02-13 09:42:51] [stress] Not Running
[2026-02-13 09:42:52] [stress] Not Running
[2026-02-13 09:42:53] [stress] Not Running
[2026-02-13 09:42:54] [stress] Not Running
[2026-02-13 09:42:55] [stress] Not Running
[2026-02-13 09:42:56] [stress] Not Running
[2026-02-13 09:42:57] [stress] Not Running
[2026-02-13 09:42:58] [stress] Not Running
[2026-02-13 09:42:59] [stress] Not Running
[2026-02-13 09:43:00] [stress] Not Running
[2026-02-13 09:43:01] [stress] Not Running
[2026-02-13 09:43:02] [stress] Not Running
[2026-02-13 09:43:03] [stress] Not Running
[2026-02-13 09:43:05] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7038 MB, GPU: 0%
[2026-02-13 09:43:06] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7037 MB, GPU: 0%
[2026-02-13 09:43:07] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7037 MB, GPU: 0%
[2026-02-13 09:43:08] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7038 MB, GPU: 0%
[2026-02-13 09:43:09] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7037 MB, GPU: 0%
[2026-02-13 09:43:10] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7037 MB, GPU: 0%
[2026-02-13 09:43:11] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7037 MB, GPU: 0%
[2026-02-13 09:43:12] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7037 MB, GPU: 0%
[2026-02-13 09:43:13] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7039 MB, GPU: 0%
[2026-02-13 09:43:20] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7038 MB, GPU: 0%
[2026-02-13 09:43:21] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7038 MB, GPU: 0%
[2026-02-13 09:43:22] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7038 MB, GPU: 0%
[2026-02-13 09:43:23] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7038 MB, GPU: 0%
[2026-02-13 09:43:24] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7038 MB, GPU: 0%
[2026-02-13 09:43:25] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7038 MB, GPU: 0%
[2026-02-13 09:43:26] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7040 MB, GPU: 0%
[2026-02-13 09:43:27] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7040 MB, GPU: 0%
[2026-02-13 09:43:28] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7040 MB, GPU: 0%
[2026-02-13 09:43:29] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7040 MB, GPU: 0%
[2026-02-13 09:43:30] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7040 MB, GPU: 0%
[2026-02-13 09:43:31] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7040 MB, GPU: 0%
[2026-02-13 09:43:32] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7040 MB, GPU: 0%
[2026-02-13 09:43:33] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7040 MB, GPU: 0%
[2026-02-13 09:43:34] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7040 MB, GPU: 0%
[2026-02-13 09:43:35] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7039 MB, GPU: 0%
[2026-02-13 09:43:36] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7039 MB, GPU: 0%
[2026-02-13 09:43:37] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7040 MB, GPU: 0%
[2026-02-13 09:43:38] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7039 MB, GPU: 0%
[2026-02-13 09:43:39] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7039 MB, GPU: 0%
[2026-02-13 09:43:40] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7038 MB, GPU: 0%
[2026-02-13 09:43:41] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7038 MB, GPU: 0%
[2026-02-13 09:43:42] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7038 MB, GPU: 0%
[2026-02-13 09:43:43] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7038 MB, GPU: 0%
[2026-02-13 09:43:44] [stress(PID:392650)] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7038 MB, GPU: 0%
[2026-02-13 09:53:13] [PID:393570] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7075 MB, GPU: 0%
[2026-02-13 09:53:14] [PID:393570] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7076 MB, GPU: 0%
[2026-02-13 09:53:15] [PID:393570] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7076 MB, GPU: 0%
[2026-02-13 09:53:16] [PID:393570] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7075 MB, GPU: 0%
[2026-02-13 09:53:17] [PID:393570] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7075 MB, GPU: 0%
[2026-02-13 09:53:18] [PID:393570] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7076 MB, GPU: 0%
[2026-02-13 09:53:19] [PID:393570] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7076 MB, GPU: 0%
[2026-02-13 09:53:20] [PID:393570] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7076 MB, GPU: 0%
[2026-02-13 09:53:21] [PID:393570] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7075 MB, GPU: 0%
[2026-02-13 09:53:22] [PID:393570] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7075 MB, GPU: 0%
[2026-02-13 09:53:23] [PID:393570] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7075 MB, GPU: 0%
[2026-02-13 09:53:24] [PID:393570] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7075 MB, GPU: 0%
[2026-02-13 09:53:25] [PID:393570] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7075 MB, GPU: 0%
[2026-02-13 09:53:26] [PID:393570] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7074 MB, GPU: 0%
[2026-02-13 09:53:27] [PID:393570] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7074 MB, GPU: 0%
[2026-02-13 09:53:28] [PID:393570] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7074 MB, GPU: 0%
[2026-02-13 09:53:29] [PID:393570] CPU: 0.00%, PROC_RAM: 0 MB, SYS_RAM: 7074 MB, GPU: 0%
[2026-02-13 09:57:47] [PID:394077] CPU: 0.00%, PROC_RAM: 8 MB, SYS_RAM: 7083 MB, GPU: 0%
[2026-02-13 09:57:48] [PID:394077] CPU: 99.96%, PROC_RAM: 8 MB, SYS_RAM: 7085 MB, GPU: 0%
[2026-02-13 09:57:49] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7085 MB, GPU: 0%
[2026-02-13 09:57:50] [PID:394077] CPU: 98.97%, PROC_RAM: 8 MB, SYS_RAM: 7084 MB, GPU: 0%
[2026-02-13 09:57:51] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7084 MB, GPU: 0%
[2026-02-13 09:57:52] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7084 MB, GPU: 0%
[2026-02-13 09:57:53] [PID:394077] CPU: 98.95%, PROC_RAM: 8 MB, SYS_RAM: 7084 MB, GPU: 0%
[2026-02-13 09:57:54] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7084 MB, GPU: 0%
[2026-02-13 09:57:55] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7085 MB, GPU: 0%
[2026-02-13 09:57:56] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7085 MB, GPU: 0%
[2026-02-13 09:57:57] [PID:394077] CPU: 98.97%, PROC_RAM: 8 MB, SYS_RAM: 7085 MB, GPU: 0%
[2026-02-13 09:57:58] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7085 MB, GPU: 0%
[2026-02-13 09:57:59] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7085 MB, GPU: 0%
[2026-02-13 09:58:00] [PID:394077] CPU: 98.97%, PROC_RAM: 8 MB, SYS_RAM: 7084 MB, GPU: 0%
[2026-02-13 09:58:01] [PID:394077] CPU: 99.96%, PROC_RAM: 8 MB, SYS_RAM: 7084 MB, GPU: 2%
[2026-02-13 09:58:02] [PID:394077] CPU: 98.97%, PROC_RAM: 8 MB, SYS_RAM: 7084 MB, GPU: 0%
[2026-02-13 09:58:03] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7084 MB, GPU: 0%
[2026-02-13 09:58:04] [PID:394077] CPU: 98.97%, PROC_RAM: 8 MB, SYS_RAM: 7084 MB, GPU: 0%
[2026-02-13 09:58:04] [PID:394077] CPU: 98.98%, PROC_RAM: 8 MB, SYS_RAM: 7084 MB, GPU: 0%
[2026-02-13 09:58:05] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7085 MB, GPU: 0%
[2026-02-13 09:58:05] [PID:394077] CPU: 99.96%, PROC_RAM: 8 MB, SYS_RAM: 7085 MB, GPU: 0%
[2026-02-13 09:58:06] [PID:394077] CPU: 98.97%, PROC_RAM: 8 MB, SYS_RAM: 7085 MB, GPU: 0%
[2026-02-13 09:58:06] [PID:394077] CPU: 99.97%, PROC_RAM: 8 MB, SYS_RAM: 7085 MB, GPU: 0%
