[2026-02-09 08:59:43] CPU: 5.48%, RAM: 6845 MB
[2026-02-09 08:59:48] CPU: 5.48%, RAM: 6845 MB
[2026-02-09 09:01:22] CPU: 5.48%, RAM: 6846 MB
[2026-02-09 09:01:27] CPU: 5.48%, RAM: 6846 MB
[2026-02-09 09:01:32] CPU: 5.48%, RAM: 6846 MB
[2026-02-09 09:01:37] CPU: 5.48%, RAM: 6846 MB
[2026-02-09 09:01:42] CPU: 5.48%, RAM: 6846 MB
[2026-02-09 09:01:47] CPU: 5.48%, RAM: 6846 MB
[2026-02-09 11:37:56] CPU: 5.46%, RAM: 7060 MB
[2026-02-09 11:38:01] CPU: 5.46%, RAM: 7059 MB
[2026-02-09 11:38:06] CPU: 5.46%, RAM: 7059 MB
[2026-02-09 11:38:11] CPU: 5.46%, RAM: 7059 MB
[2026-02-09 11:38:16] CPU: 5.46%, RAM: 7059 MB
[2026-02-09 11:38:21] CPU: 5.46%, RAM: 7059 MB
[2026-02-09 11:38:26] CPU: 5.46%, RAM: 7059 MB
[2026-02-09 11:38:31] CPU: 5.46%, RAM: 7059 MB
[2026-02-09 11:38:37] CPU: 5.46%, RAM: 7059 MB
[2026-02-09 11:38:42] CPU: 5.46%, RAM: 7059 MB
[2026-02-09 11:53:47] CPU: 5.46%, RAM: 7143 MB
[2026-02-09 11:53:52] CPU: 5.46%, RAM: 7144 MB
[2026-02-09 11:53:57] CPU: 5.46%, RAM: 7144 MB
[2026-02-09 11:54:02] CPU: 5.46%, RAM: 7144 MB
[2026-02-09 11:54:07] CPU: 5.46%, RAM: 7144 MB
[2026-02-09 11:54:12] CPU: 5.46%, RAM: 7144 MB
[2026-02-09 11:56:48] CPU: 5.46%, RAM: 7141 MB
[2026-02-09 11:56:53] CPU: 5.46%, RAM: 7142 MB
[2026-02-09 11:56:58] CPU: 5.46%, RAM: 7142 MB
[2026-02-09 11:57:03] CPU: 5.46%, RAM: 7141 MB
[2026-02-09 11:57:08] CPU: 5.46%, RAM: 7141 MB
[2026-02-09 11:57:13] CPU: 5.46%, RAM: 7141 MB
[2026-02-09 11:57:18] CPU: 5.46%, RAM: 7141 MB
[2026-02-09 11:57:23] CPU: 5.46%, RAM: 7141 MB
[2026-02-09 11:57:28] CPU: 5.46%, RAM: 7141 MB
[2026-02-09 11:57:33] CPU: 5.46%, RAM: 7141 MB
[2026-02-09 12:07:25] CPU: 5.46%, RAM: 7126 MB
[2026-02-09 12:07:30] CPU: 5.46%, RAM: 7127 MB
[2026-02-09 12:07:35] CPU: 5.46%, RAM: 7127 MB
[2026-02-09 12:07:40] CPU: 5.46%, RAM: 7127 MB
[2026-02-09 12:07:45] CPU: 5.46%, RAM: 7127 MB
[2026-02-09 12:21:27] CPU: 5.46%, RAM: 6983 MB
[2026-02-09 12:21:32] CPU: 5.46%, RAM: 6983 MB
[2026-02-09 12:21:32] [GPU] GR3D: 0%, SYS_RAM: 3231/7471 MB
[2026-02-09 12:21:37] CPU: 5.46%, RAM: 6984 MB
[2026-02-09 12:21:37] [GPU] GR3D: 0%, SYS_RAM: 3231/7471 MB
[2026-02-09 12:21:42] CPU: 5.46%, RAM: 6984 MB
[2026-02-09 12:21:42] [GPU] GR3D: 0%, SYS_RAM: 3231/7471 MB
[2026-02-09 14:12:55] CPU: 5.45%, RAM: 7006 MB, GR3D: N/A
[2026-02-09 14:13:00] CPU: 5.45%, RAM: 7006 MB, GR3D: 0%, SYS_RAM: 3249/7471 MB
[2026-02-09 14:13:05] CPU: 5.45%, RAM: 7006 MB, GR3D: 0%, SYS_RAM: 3248/7471 MB
[2026-02-09 14:13:10] CPU: 5.45%, RAM: 7006 MB, GR3D: 0%, SYS_RAM: 3248/7471 MB
[2026-02-09 14:13:15] CPU: 5.45%, RAM: 7006 MB, GR3D: 0%, SYS_RAM: 3248/7471 MB
